refDes,manufacturer,mpn,quantity,unitPrice,notes
C1,KEMET,C0805C106K3PACTU,1,,10uF 0805 bulk on 3V3 (L1.01 core)
"C2,C3,C7,C8",Samsung Electro-Mechanics,CL21B104KBCNNNC,4,,100nF 0805 — C2/C3 module decap + C7 EN + C8 ADC anti-alias/S&H cap at the pin
"C5,C6",Würth Elektronik,885012207103,2,,1uF 0805 LDO in/out (L1.01 core)
D1,STMicroelectronics,USBLC6-2SC6,1,,USB ESD/TVS array (L1.01 core)
D2,Bourns,CDSOD323-T05C,1,1.13,5V single-line SOD-323 ESD on the analog node AIN (reuse L1.03)
F1,Littelfuse,1206L050YR,1,,0.5A PTC on VBUS (L1.01 core)
J1,GCT,USB4110-GF-A,1,,USB-C receptacle (L1.01 core)
"J2,J3,J4",Sullins Connector Solutions,PRPC040SAAN-RC,3,1.23,Breakaway 0.1in header — J2/J3 GPIO breakout + J4 1x3 analog-in (3V3/AIN/GND)
LED1,Würth Elektronik,150080RS75000,1,,Red power LED 0805 (L1.01 core)
LED2,Würth Elektronik,150080YS75000,1,,Yellow user/status LED 0805 (L1.01 core)
"R1,R2,R7,R8",Yageo,RC0805FR-0710KL,4,0.10,10k 0805 — R1/R2 EN/GPIO0 pull-ups + R7 ADC anti-alias series + R8 J4 analog-in access limiter
"R3,R4",Yageo,RC0805FR-075K1L,2,,5.1k 0805 CC sink pull-downs (L1.01 core)
"R5,R6",Yageo,RC0805FR-07470RL,2,,470R 0805 LED series (L1.01 core)
RV1,Bourns,3362P-1-103LF,1,0.96,10k single-turn THT cermet trimpot — sweepable analog input source (NEW)
"SW1,SW2",Omron,B3F-1000,2,,EN/BOOT tactile buttons THT (L1.01 core)
TP1,Keystone Electronics,5010,1,,Red 3V3 test point (L1.01 core)
TP2,Keystone Electronics,5011,1,,Black GND test point (L1.01 core)
U1,Espressif Systems,ESP32-S3-WROOM-1-N16R2,1,6.32,ESP32-S3 module (L1.01 core)
U2,Richtek,RT9080-33GJ5,1,0.28,3.3V/600mA LDO (L1.01 core)
