refDes,manufacturer,mpn,quantity,unitPrice,notes
J1,GCT,USB4110-GF-A,1,,USB-C 2.0 receptacle (sink/power-only) — charge input [reuse]
F1,Littelfuse,miniSMDC150F-2,1,,PTC resettable fuse 1.5 A hold / 3 A trip 6 V — VBUS overcurrent [reuse]
D1,Littelfuse,SMAJ6.0A,1,,Unidirectional TVS 6.0 V VRWM — VBUS transient clamp [reuse]
U1,Microchip,MCP73831T-2ACI/OT,1,,1S Li-ion linear charger SOT-23-5; PROG=5.1k -> 196 mA; VREG 4.20 V [reuse]
U2,UMW,DW01A,1,0.10,1S protection controller SOT-23-6; OVP 4.3 / UVP 2.4 / OCP 0.15 V / SCP 1.35 V [NEW]
Q1,Fortune Semiconductor,FS8205A,1,0.39,Dual common-drain N-MOSFET SOT-23-6; DW01A companion on B- low side [NEW] (thin stock - 2nd source)
Q2,Diodes Incorporated,DMG3415U-7,1,0.48,Load-share P-MOSFET SOT-23; -20 V low-Vth; body-diode VBAT->VSYS fallback [NEW]
U3,Texas Instruments,TLV61048DBVR,1,0.90,Non-synchronous boost SOT-23-6; Vref 0.80 V; 600 kHz; 2.9 A switch limit -> 5.0 V rail [NEW]
L1,Bourns,SRN6045TA-4R7M,1,0.46,4.7 uH shielded power inductor 6045; Isat ~3.7 A — boost [NEW]
"D2,D3",Vishay General Semiconductor,SS34-E3/57T,2,,Schottky 40 V/3 A SMC — D2 load-share VBUS->VSYS, D3 boost rectifier [reuse]
U4,Richtek,RT9080-33GJ5,1,,3.3 V/600 mA LDO TSOT-23-5; 0.53 V dropout — quiet rail after boost [reuse]
J2,JST Sales America,S2B-PH-K-S,1,0.11,JST PH 2.0 mm 2-pin R/A THT — single cell (keyed) [NEW]
J3,TE Connectivity,282837-3,1,,3-pos 5.08 mm screw terminal — output 5V0/3V3/GND [reuse]
SW1,E-Switch,EG1218,1,0.72,SPDT slide switch THT — on/off (boost EN) [NEW]
R8,Yageo,RC0805FR-0752K3L,1,0.10,52.3 kOhm 1% 0805 — boost FB top (Vout 4.98 V) [NEW]
R7,Yageo,RC0805FR-071ML,1,0.10,1 MOhm 1% 0805 — load-share gate pulldown [NEW]
"R1,R2,R3",Yageo,RC0805FR-075K1L,3,,5.1 kOhm 1% 0805 — R1/R2 CC1/CC2 Rd, R3 charger PROG (196 mA) [reuse]
"R4,R5,R10",Yageo,RC0805FR-07470RL,3,,470 Ohm 1% 0805 — R4 CHRG LED, R5 DW01A VDD series, R10 PWR LED [reuse]
"R6,R9",Yageo,RC0805FR-0710KL,2,,10 kOhm 1% 0805 — R6 load-share gate pull-up, R9 boost FB bottom [reuse]
"C1,C2",Samsung Electro-Mechanics,CL21A475KAQNNNE,2,,4.7 uF 25 V X5R 0805 — C1 charger VDD, C2 charger VBAT [reuse]
"C4,C5,C6",Samsung Electro-Mechanics,CL21A106KOQNNNE,3,,10 uF 16 V X5R 0805 — C4 boost Vin, C5/C6 boost Vout [reuse]
"C7,C8",Würth Elektronik,885012207103,2,,1 uF 50 V X7R 0805 — LDO in/out [reuse]
C3,Samsung Electro-Mechanics,CL21B104KBCNNNC,1,,0.1 uF 50 V X7R 0805 — DW01A VDD bypass [reuse]
C9,Panasonic,EEU-FM1C102,1,,1000 uF 16 V radial THT — VSYS bulk hold-up [reuse]
TP1,Keystone Electronics,5010,1,,Test point red (5V0) THT loop [reuse]
TP2,Keystone Electronics,5011,1,,Test point black (GND) THT loop [reuse]
