refDes,manufacturer,mpn,quantity,unitPrice,notes
"C1,C7,C8",KEMET,C0805C106K3PACTU,3,0.29,10uF 25V X5R 0805 — C1 3V3 bulk (L1.01 core); C7/C8 DRV8833 VM bypass (2x for DC-bias derating see B1) [reuse]
"C2,C3,C4,C9,C13,C14",Samsung Electro-Mechanics,CL21B104KBCNNNC,6,0.10,100nF 0805 — C2/C3 module decouple + C4 EN cap (L1.01 core); C9 VM HF; C13 VMOT HF; C14 ADC sense filter [reuse]
"C5,C6",Würth Elektronik,885012207103,2,0.31,1uF 50V X7R 0805 — RT9080 LDO in/out (L1.01 core) [reuse]
C10,Samsung Electro-Mechanics,CL21B225KOFNNNE,1,0.15,2.2uF 16V X7R 0805 — DRV8833 VINT bypass; 16V chosen over 6.3V for DC-bias retention (B3) [NEW]
C11,Samsung Electro-Mechanics,CL21B103KBCNNNC,1,0.10,10nF 50V X7R 0805 — DRV8833 charge-pump cap wired VCP to VM (NOT to GND) (B2) [NEW]
C12,Panasonic,EEU-FM1C102,1,1.14,1000uF 16V FM low-ESR radial THT — VMOT bulk; motor-return star point [reuse]
D1,STMicroelectronics,USBLC6-2SC6,1,0.57,USB VBUS + D+/D- ESD array (L1.01 core); UMW USBLC6-2SC6 is the noted second source [reuse]
"D2,D3,D4",Vishay General Semiconductor,SS34-E3/57T,3,1.02,40V/3A SMC Schottky — D2 VBUS-to-LDO_IN OR; D3 VMOT-to-LDO_IN OR; D4 reverse-polarity shunt crowbar on VMOT [reuse]
D5,Littelfuse,SMAJ6.0A,1,0.47,6.0V unidirectional SMA TVS — VMOT transient/regenerative clamp; Vc 10.3V is below the DRV8833 10.8V recommended max [reuse]
F1,Littelfuse,1206L050YR,1,0.64,0.5A hold / 1A trip PTC on USB VBUS (L1.01 core) [reuse]
F2,Littelfuse,miniSMDC150F-2,1,0.61,1.5A hold / 3A trip / 6V PTC on VMOT — safety-critical: the only current limit on the Li-ion path [reuse]
J1,GCT,USB4110-GF-A,1,1.27,USB-C 2.0 receptacle sink (L1.01 core) [reuse]
"J2,J3",Sullins Connector Solutions,PRPC040SAAN-RC,2,1.23,Breakaway 0.1in header — snap to 2x 1x22 GPIO breakout (L1.01 core) [reuse]
"J4,J5,J6",TE Connectivity,282837-2,3,0.95,2-pos 5.08mm screw terminal — J4 VMOT input from L2.01 5V0; J5 Motor A; J6 Motor B [reuse]
LED1,Würth Elektronik,150080RS75000,1,0.19,Red 0805 — 3V3 PWR indicator (L1.01 core) [reuse]
LED2,Würth Elektronik,150080YS75000,1,0.19,Yellow 0805 — LINK/ESP-NOW activity on GPIO47 (matches L1.02) [reuse]
LED3,Würth Elektronik,150080GS75000,1,0.19,Green 0805 — MOTOR PWR indicator on VMOT; also clamps a leakage-floated VMOT below the DRV8833 UVLO (RK14) [NEW]
"R1,R2,R3,R4",Yageo,RC1206FR-071R2L,4,0.15,1.2 Ohm 1% 1206 current sense — two in parallel per bridge = 0.60 Ohm; sets I_CHOP 264/333/404 mA (K2/K3) [NEW]
"R5,R6",Yageo,RC0805FR-075K1L,2,0.10,5.1 kOhm 1% 0805 — USB-C CC1/CC2 Rd sink pull-downs (L1.01 core) [reuse]
"R7,R9,R10,R11",Yageo,RC0805FR-07470RL,4,0.10,470 Ohm 1% 0805 — R7 nSLEEP series (allows SW3 to win); R9/R10/R11 LED1/LED2/LED3 series [reuse]
"R8,R19,R20",Yageo,RC0805FR-07100KL,3,0.10,100 kOhm 1% 0805 — R8 nSLEEP pulldown (100k not 10k: keeps the divider loss at 0.47% see K23); R19/R20 VMOT sense divider [NEW]
"R12,R13,R14,R15,R16,R17,R18",Yageo,RC0805FR-0710KL,7,0.10,10 kOhm 1% 0805 — R12/R13 EN + GPIO0 pull-ups (L1.01 core); R14-R17 AIN1/AIN2/BIN1/BIN2 pulldowns; R18 nFAULT pull-up [reuse]
"SW1,SW2",Omron,B3F-1000,2,0.35,EN (reset) and BOOT tactile buttons THT (L1.01 core) [reuse]
SW3,E-Switch,EG1218,1,0.72,SPDT slide THT — hardware MOTOR SAFE/ENABLE; grounds nSLEEP independent of firmware and of the radio (F8) [reuse]
"TP1,TP3",Keystone Electronics,5010,2,0.30,Red THT test-point loop — TP1 3V3; TP3 VMOT [reuse]
"TP2,TP5",Keystone Electronics,5011,2,0.27,Black THT test-point loop — TP2 GND; TP5 GND placed adjacent to TP4 as the scope probe return [reuse]
TP4,Keystone Electronics,5012,1,0.10,White THT test-point loop — STROBE on GPIO17; the ESP-NOW latency measurement point (F9) [NEW]
U1,Espressif Systems,ESP32-S3-WROOM-1-N16R2,1,6.32,ESP32-S3 module; on-module PCB antenna carries the ESP-NOW link (L1.01 core) [reuse]
U2,Richtek,RT9080-33GJ5,1,0.28,3.3V/600mA LDO TSOT-23-5; fed from the D2/D3 Schottky OR of USB VBUS and VMOT (L1.01 core) [reuse]
U3,Texas Instruments,DRV8833PWR,1,2.71,Dual H-bridge TSSOP-16 PW package (plain TSSOP - NO PowerPAD - the only hand-solderable variant); 500mA RMS per bridge [NEW]
